Package Name,Category
com.yahoo.infohub,News & Magazines
com.verizontelematics.verizonhum,Maps & Navigation
com.imdb.mobile,Entertainment
com.fi7276.godough,Finance
com.ig.bus.out,Puzzle
com.popular.android.mibanco,Finance
com.melon.drop.fruit.merge.master,Puzzle
io.elevenlabs.readerapp,Books & Reference
com.foxsports.android,Sports
com.bandainamcoent.gget_WW,Simulation
com.weedmaps.app.android,Lifestyle
org.kp.m,Health & Fitness
com.messages.textmessages.datas,Communication
and.brainworks.holeemall,Puzzle
com.adobe.lrmobile,Photography
speedometer.gpsspeedometer.gps.odometer.speed,Maps & Navigation
com.woodpuzzle.pin3d,Puzzle
com.descartes.mobilelink,Business
com.rnovel.android.app,Books & Reference
com.applabstudios.ai.mail.homescreen.inbox,Personalization
com.samsung.android.app.routineplus,
com.lovense.wear,Tools
com.vitastudio.solitaire,Card
com.extraspace.aspen,Tools
ru.mail.mailapp,Communication
com.google.android.apps.carrier.carrierwifi,
app.symfonik.music.player,Music & Audio
app.mihon,
com.best.snap.news,News & Magazines
com.rjp.diarypro,Lifestyle
com.dxx.firenow,Adventure
com.epedometer.step,Health & Fitness
com.nvsgames.snap,Strategy
gps.speedometer.digihud.odometer,Maps & Navigation
com.zynga.wizardofoz,Casino
com.jagex.oldscape.android,Adventure
com.dominospizza,Food & Drink
com.gm.chevrolet.nomad.ownership,Lifestyle
gov.panynj.virttaxdispapp,Travel & Local
com.easybrain.jigsaw.puzzles,Puzzle
com.naturalmotion.customstreetracer2,Racing
com.sugar.logger.keep.health.monitor,
com.jurny.driver,Travel & Local
us.newellbrands.dymoletratagconnect,Productivity
net.zedge.android,Personalization
com.ontheclock.otc.otc,Business
com.car.parking.bus.mania.traffic.jam,Puzzle
com.uniarch.mobile.phone,
com.epic.haiku.android,Medical
com.vnrfhfyt.hcndscleanseeker,
com.finallevel.radiobox,Music & Audio
com.sprint.ms.smf.services,
com.grandegames.slots.dafu.casino,Casino
com.bloodapppro904b.com,Tools
com.safeway.client.android.albertsons,Shopping
com.gma.water.sort.puzzle,Puzzle
com.tmobile.kids,
com.google.android.ext.services,
com.proximabeta.nikke,Role Playing
com.oakever.tiletrip,Puzzle
com.espn.bet,Sports
com.ctt.celltrak2,Medical
com.balloon.master.cube.match,Puzzle
com.blackout.spades,Card
com.eet.email.launcher,Communication
com.Project100Pi.themusicplayer,Music & Audio
com.wireless.defenseland,Strategy
com.fugo.wow,Word
com.t4login.t4android,Finance
com.zynga.words,Word
water.sort.puzzle.game.color.sorting.free,Puzzle
com.powerschool.portal,Education
com.weezerlite.and,Music & Audio
com.yahoo.mobile.client.android.weather,Weather
screw.sort.match.jam.puzzle,Casual
proxy.browser.unblock.sites.proxybrowser.unblocksites,Tools
com.hollywoodcasino,Casino
com.mobiletek.mta,Productivity
com.gimica.solitaireverse,Card
com.gamedots.seasideescape,Puzzle
com.evenflo.sensorsafe,Parenting
com.efun.eud3,Role Playing
shix.homeeye.camera,Tools
air.com.buffalo_studios.newflashbingo,Board
com.rovio.baba,Casual
com.bigfishgames.mergetalesgoog,Puzzle
com.wave.carvequest,Adventure
com.nhn.android.search,Books & Reference
com.samsung.android.kmxservice,
com.i4season.supanesok,Tools
com.softek.ofxclmobile.communitychoicecu,Finance
net.wooga.junes_journey_hidden_object_mystery_game,Adventure
com.play.solitairesmash,
solitaire.patience.card.games.klondike.free,Card
com.lbe.parallel.intl,Personalization
com.inspiredsquare.jupiter,Puzzle
games.burny.color.sort.woody.puzzle,Puzzle
com.epal.android,Social
com.samsung.android.service.aircommand,
com.feit.smart,Tools
com.accurate.weather.forecast.live,Weather
com.appmind.radios.ve,Music & Audio
com.videoeditorpro.android,Video Players & Editors
com.kingsgroup.dcdly,Strategy
com.microsoft.xboxone.smartglass,Entertainment
com.xfinity.cloudtvr,Entertainment
com.google.android.apps.translate,Tools
com.camerasideas.instashot,Photography
com.iqiyi.i18n,Entertainment
com.boost.safeandfound,
com.joycastle.mergematch,Casual
com.esri.fieldmaps,Productivity
com.candywriter.bitlife,Simulation
car.jam.traffic.seat.unblock,Puzzle
co.aviagames.mtp.bingobattle.samsung,
com.garmin.android.apps.connectmobile,Health & Fitness
com.h73.jhqyna,Adventure
com.marriott.mrt,Travel & Local
com.sgiggle.production,Social
com.samsung.accessory.paranmgr,Tools
com.wssc.simpleclock,Productivity
sudoku.puzzle.free.game.brain,Puzzle
org.smapps.sort,Puzzle
com.devuni.flashlight,Tools
com.dolby.voice.recorder.audio.recorder,Tools
