Package Name,Category
com.arity.routereport,Auto & Vehicles
com.promaster.autoskyplus,Tools
com.matchington.mansion,Puzzle
com.vrbo.android,Travel & Local
com.fullcircletms.circlemobile,Productivity
com.amazon.kindlefs,
com.jcp,Shopping
com.clearcare.clearcareconnect,Medical
com.schwab.mobile,Finance
com.repsly.android.feed,Business
com.garmin.pnd.eldapp,Auto & Vehicles
com.h5g.high5casino,Casino
com.fiogonia.yatzy,Board
com.paragyte.publicpartnerships,Business
com.WalkTalk.FlightMaster,Action
com.forevergreen.solitaire,Card
com.zm.watersort,Puzzle
com.colt,Books & Reference
com.productmadness.lightninglink,Casino
com.gamemaker5.idlemafia,Simulation
net.aexgroup.aexdrivermobile,Business
com.consumerapp_v1,Shopping
com.leap.hiddentales,Puzzle
com.papegames.lysk.en,Simulation
com.lowes.driversapp.delivered,Business
com.crazylabs.fashion.squad,Casual
com.morkam.speedometer.gps,Maps & Navigation
com.multicastgames.venomSurvive,Arcade
com.signia.rta,Medical
co.bridgemoney.bridge_debit_card,Shopping
com.fblazeig.browser,Tools
com.zynga.livepoker,Card
com.ford.fordpass,Lifestyle
com.formulaone.production,Sports
com.playvalve.mahjong,Board
com.google.android.as,Tools
com.google.android.dialer,Tools
wool.sort.jam.color.painting,Puzzle
com.eset.ems2.gp,Tools
com.panera.bread,Food & Drink
com.varomoney.bank,Finance
com.rhythmnewmedia.tmz,News & Magazines
com.style.fashion.game.suitsme,Simulation
com.rush.sh,Sports
com.game.telepath.master.free.puzzle.gsawx,Casual
com.huckleberry_labs.app,Parenting
com.com2us.legion.android.google.global.normal,Role Playing
com.totalbattle,Strategy
com.ss.android.article.video,
com.moneylion,Finance
net.sharewire.Nycdot,Travel & Local
com.amazon.venezia,
com.freespoke,Tools
com.hellofresh.androidapp,Food & Drink
com.nationwide.sr,Auto & Vehicles
com.ticketmaster.mobile.android.na,Events
com.fleeteng.spatulago,Business
net.osmand,Travel & Local
com.productmadness.cashmancasino,Casino
com.xiaomi.wearable,Health & Fitness
com.automatize.drive,Auto & Vehicles
com.glazero.android,Communication
com.samsung.android.bixby.ondevice.esus,
com.paycor.perform,Business
com.reincubate.camo,Tools
com.domobile.applock.lite,Tools
com.euchre.solitaire.plus.offline.free.card.games,Card
com.usnaviguide.radar_now,Weather
com.sonos.acr2,Music & Audio
com.culvers.mobile,Food & Drink
com.sortmatch.triple.drop.goods.puzzle,Casual
com.todo1.davivienda.mobileapp.hn,Finance
closet.match.pair.matching.games,Casual
com.theliven.livenhabits,Lifestyle
com.king.petrescuesaga,Casual
com.axiscare,Business
com.bathandbody.bbw,Shopping
com.audiomack,Music & Audio
com.AgainstGravity.RecRoom,Adventure
com.google.android.webview,Tools
com.nstudio.weatherhere.free,Weather
com.xm.csee,Tools
com.scannerradio,News & Magazines
ai.perplexity.app.android,Productivity
com.pdfviewer.forandroid,Tools
com.tssmobile,Tools
com.coolguy.desktoppet,Personalization
com.bubbleshooter.popbubbles.collectcards,Casual
com.partyup.blockjam,Puzzle
com.samsung.android.bixby.service,
com.aloha.browser,Productivity
com.easybrain.hidden.spots,Puzzle
com.weather.nold.forecast,Weather
com.tvg.android,
com.telogis.workplan,Maps & Navigation
com.merge.cooking.theme.restaurant.food,Simulation
com.bryx.bryx911,Medical
com.google.android.apps.work.clouddpc,Tools
com.sportclips.ultimatemvp,Lifestyle
jp.konami.masterduel,Card
com.halla.voicechat,Entertainment
com.mmguardian.childapp,Tools
com.slots.free.vegas.casino.jackpotland,Casino
us.prologs.android,Maps & Navigation
com.breitbart.app,News & Magazines
com.upswing.slots,
providence.nassau.mobile.providencehealth,Medical
com.vgwus.luckylandslots,
com.easybrain.number.sums.puzzle,Puzzle
com.washingtonpost.android,News & Magazines
com.safeway.client.android.jewelosco,Shopping
com.itechnosolut.devicetree,Tools
com.mahalo.androidmobile.ilwu,Finance
com.lyft.android.driver.beta,
com.google.earth,Travel & Local
com.shiftkey.provider,Medical
com.narvii.amino.master,Social
com.appstech.classic,Tools
bbc.mobile.news.ww,News & Magazines
com.peoplefun.wordsearch,Word
com.screwout.nutsjam,Puzzle
org.eduspiresolutions.ehp.app,Education
com.videolite,Video Players & Editors
in.daily_puzzle.crossword,Word
mobi.jackd.android,Social
com.freshbooks.andromeda,Business
mega.privacy.android.app,Productivity
com.ea.game.pvz2_na,Casual
com.greenmushroom.boomblitz.gp,Strategy
hidden.objects.find.it.out.seek.puzzle.games.free,Puzzle
com.healthapplines.android.stepcounter,Health & Fitness
com.erieinsurance.yourturn,Auto & Vehicles
com.komspek.battleme,Music & Audio
com.camelgames.aoz,Strategy
com.pegasustranstech.transflomobileplus.decker,Business
bible.kjvbible.audio.plan.verse,Books & Reference
cellmate.qiui.com,
com.spotio.app,Business
com.tropicalsmoothie.tropicalsmoothiecafe.android.app,Food & Drink
com.statefarm.dssm,Finance
com.softek.ofxclmobile.firstpeoplesccu,Finance
com.noahclient,Books & Reference
com.jb.go.musicplayer.mp3player,
com.ventogames.findthecat,Puzzle
bbl.intl.bambulab.com,Tools
com.hwqgrhhjfd.idlefastfood,Simulation
com.fieldroutes,Business
com.calendar.scheduleplanner.agendaplanner,Productivity
com.funcraft.whamzee,Word
starnest.aitype.aikeyboard.chatbot.chatgpt,Productivity
com.hutchgames.formularacing,Racing
com.williamsinteractive.goldfish,Casino
com.funcraft.yatzypoker,Card
com.cricut.designspace,Lifestyle
com.tenten.app,Social
com.ninjakiwi.bloonstd6,Strategy
com.netmarble.mherosgb,Role Playing
com.dailywire.thedailywire,News & Magazines
com.ozn.busqueuee,Puzzle
com.gm.gmc.nomad.ownership,Lifestyle
com.chrome.beta,Productivity
com.gamesys.ballycasino,Entertainment
com.whalo.games.fishoffortune,Casual
com.olzhas.carparking.multyplayer,Simulation
com.arccosgolf.androidFlagship,Sports
com.king.apps.candysolitaire,Card
com.badger.badgermap,Productivity
com.copart.transportation,Business
com.zynga.gotslots,Casino
com.gameloft.android.ANMP.GloftDYHM,Simulation
app.phantom,Finance
com.exoticmatch.game,Puzzle
com.firstsouth.banking,Finance
com.movtery.zalithlauncher,
com.weplaydots.twodotsandroid,Board
com.happymod.apk,
org.mozilla.firefox.vpn,Tools
com.syf.amazonstorecard,Finance
com.sec.android.app.vepreload,
com.rebtel.android,Communication
com.crisp.release.space,
com.mxdzzus.google,Role Playing
com.wheels.wheels,Business
com.vitastudio.senior.jigsaw,Puzzle
com.wondershare.famisafe.kids,Parenting
com.ripostegames.shopr,Simulation
us.mitene,Parenting
com.abaltatech.wlhostapp,Entertainment
com.puzzle.traffic.parking.jam.bus.out,Puzzle
com.applocker.photovault,Tools
com.sclw.ctronics,Tools
com.microsoft.powerbim,Business
com.primeinc.primemobile,Business
com.garmin.android.apps.gecko,Auto & Vehicles
com.match.android.matchmobile,Dating
com.doradogames.conflictnations.worldwar3,Strategy
com.softek.ofxclmobile.universitycu,Finance
com.fandango.regal,Entertainment
com.mobilefootie.wc2010,Sports
com.kiloo.subwaysurf,Arcade
org.malwarebytes.antimalware,Tools
com.jackpotfriends.slots,Casino
com.vjsjlqvlmp.wearewarriors,Strategy
com.shazam.android,Music & Audio
com.gimica.blockholeclash,Casual
com.blizzard.diablo.immortal,Role Playing
com.YoStarEN.AzurLane,Action
com.doubleTwist.cloudPlayerPro,Music & Audio
com.wnba.centercourt,Sports
com.propdispatch.driverapp,Productivity
com.wejoy.weplay.us,Entertainment
com.zibosmart.vinehome,Tools
com.zynga.farmville3,Simulation
com.wallstopia.hd,Personalization
com.awi.whrp,Sports
com.okampro.oksmart,Tools
